"POPCTRRAPuid","POPCTRRAPdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","POPCTRRAuid","XPRuid","CMAuid"
"240802",,"Saint-Ambroise","4","2",1651,723,700,1678,1678,717,698,"0.8944","0","0","0","24","0802",,
"240803",,"Saint-André-Avellin","4","2",1642,813,777,1903,1903,841,803,"2.3842","0","0","0","24","0803",,
"240805",,"Saint-Anselme","4","2",2729,1219,1166,2541,2688,1162,1122,"3.3517","1","0","0","24","0805",,
"240807",,"Saint-Basile-Sud","4","2",1444,715,683,1387,1387,670,645,"1.9369","0","0","0","24","0807",,
"240811",,"Saint-Césaire","4","2",3869,1769,1699,3815,3815,1691,1663,"2.3488","0","0","0","24","0811",,
"240815",,"Saint-Damase","4","2",1139,504,491,1138,1138,490,482,"1.9886","0","0","0","24","0815",,
"240816",,"Saint-Damien-de-Buckland","4","2",1206,616,598,1203,1203,607,582,"1.5606","0","0","0","24","0816",,
"240819",,"Saint-Donat-de-Montcalm","4","2",1512,1057,792,1213,1479,1056,747,"3.2565","1","0","0","24","0819",,
"240822",,"Saint-Fabien","4","2",1067,526,499,1145,1145,530,512,"1.5284","0","0","0","24","0822",,
"240823",,"Saint-Félicien","4","2",6751,3419,3222,7096,7096,3364,3197,"8.5822","0","0","0","24","0823",,
"240824",,"Saint-Félix-de-Valois","4","2",3544,1629,1584,2978,2978,1344,1281,"4.0722","0","0","0","24","0824",,
